dur,proto,sbytes,dbytes,sttl,dttl,sload,dload,spkts,dpkts,smean,dmean,sinpkt,dinpkt,tcprtt,synack,ackdat,ct_src_ltm,ct_dst_ltm,ct_dst_src_ltm,label
0.012922,114,2438,20576,31,29,1469741.5,12420368.0,38,40,64,514,0.336865,0.316667,0.000723,0.000568,0.000155,2,3,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,27,27,46,1
7e-06,119,264,0,60,0,150857136.0,0.0,2,0,132,0,0.007,0.0,0.0,0.0,0.0,23,23,23,0
0.00103,120,146,178,31,29,566990.25,691262.125,2,2,73,89,0.012,0.012,0.0,0.0,0.0,2,4,1,0
4e-06,119,114,0,254,0,114000000.0,0.0,2,0,57,0,0.004,0.0,0.0,0.0,0.0,22,22,23,1
0.016938,114,2766,25742,31,29,1277128.25,11894202.0,44,46,63,560,0.386512,0.362267,0.000782,0.000626,0.000156,2,1,1,0
0.101413,113,8928,424,31,29,654038.4375,29266.46484,14,8,638,53,8.451083,14.318429,0.00077,0.000591,0.000179,5,3,4,0
0.902967,114,12856,13202,31,29,113031.8203,116026.3906,130,124,99,106,7.05443,7.325837,0.000659,0.000535,0.000124,3,2,2,0
1.104639,114,1580,10168,31,29,10493.92578,69553.94531,12,18,132,565,100.389453,64.946353,0.000702,0.000546,0.000156,2,1,1,0
0.016684,113,2438,16920,31,29,1138336.125,7899784.5,38,38,64,445,0.454583,0.437108,0.000626,0.000507,0.000119,5,3,1,0
0.500588,113,588,268,254,252,8470.039062,3579.790283,10,6,59,45,49.112333,81.189398,0.15858,0.094636,0.063944,1,1,3,0
0.014127,113,2334,16528,31,29,1285481.625,9113895.0,36,38,65,435,0.393171,0.365946,0.000719,0.000586,0.000133,2,1,1,0
0.003087,113,320,1886,31,29,691933.9375,4278587.5,6,8,53,236,0.5526,0.371286,0.00061,0.000484,0.000126,5,6,4,0
9e-06,119,264,0,60,0,117333328.0,0.0,2,0,132,0,0.009,0.0,0.0,0.0,0.0,41,41,41,0
0.038898,113,3926,55074,31,29,795310.8125,11160471.0,66,68,59,810,0.593708,0.571806,0.000709,0.000578,0.000131,2,1,1,0
0.005605,113,2048,2410,31,29,2801784.0,3308474.5,24,26,85,93,0.223261,0.212208,0.000625,0.000506,0.000119,2,6,1,0
0.01001,113,2334,16446,31,29,1814185.75,12798401.0,36,38,65,433,0.276429,0.252514,0.000814,0.000656,0.000158,5,3,1,0
0.000973,119,146,178,31,29,600205.5625,731757.4375,2,2,73,89,0.005,0.004,0.0,0.0,0.0,1,1,2,0
0.578997,113,3390,41792,31,29,46010.60156,567491.6875,56,58,61,721,10.715425,10.147368,0.000729,0.000587,0.000142,3,4,1,0
0.027789,114,2958,32650,31,29,833999.0625,9211414.0,48,50,62,653,0.584255,0.555429,0.000727,0.00057,0.000157,7,1,1,0
0.000918,119,146,178,31,29,636165.5625,775599.125,2,2,73,89,0.005,0.004,0.0,0.0,0.0,5,5,1,0
0.018338,113,2854,30654,31,29,1218017.25,13094557.0,46,48,62,639,0.399533,0.394556,0.000722,0.000575,0.000147,3,5,1,0
3e-06,119,264,0,60,0,352000000.0,0.0,2,0,132,0,0.003,0.0,0.0,0.0,0.0,13,13,17,0
0.001694,119,512,304,31,29,1813459.25,1076741.5,4,4,128,76,0.441333,0.205,0.0,0.0,0.0,3,4,3,0
0.018995,113,1540,1644,31,29,608160.0625,654066.875,16,18,96,91,1.2448,1.090177,0.000581,0.000459,0.000122,8,10,7,0
5e-06,119,114,0,254,0,91200000.0,0.0,2,0,57,0,0.005,0.0,0.0,0.0,0.0,48,48,48,1
0.076122,119,536,304,31,29,42247.96875,23961.53516,4,4,134,76,12.670667,20.992334,0.0,0.0,0.0,2,7,2,0
0.019814,114,2646,24692,31,29,1042899.0,9743010.0,42,44,63,561,0.475268,0.44707,0.000711,0.000589,0.000122,3,2,1,0
0.0011,119,146,178,31,29,530909.125,647272.75,2,2,73,89,0.009,0.003,0.0,0.0,0.0,7,3,1,0
0.036187,119,520,304,31,29,86218.80469,50404.83984,4,4,130,76,7.013333,7.694333,0.0,0.0,0.0,4,6,4,0
5e-06,119,264,0,60,0,211200000.0,0.0,2,0,132,0,0.005,0.0,0.0,0.0,0.0,16,16,16,0
0.004153,113,1036,2262,31,29,1830002.375,3995184.0,12,12,86,189,0.345091,0.320273,0.000755,0.000622,0.000133,3,4,1,0
0.071672,114,2974,33550,31,29,325147.9063,3669940.75,48,50,62,671,1.518255,1.452898,0.000591,0.000477,0.000114,3,2,1,0
0.03036,114,37336,3380,31,29,9649012.0,869565.1875,52,42,718,80,0.588863,0.726634,0.00071,0.000563,0.000147,2,1,1,0
0.108892,113,8928,424,31,29,609117.3125,27256.36328,14,8,638,53,8.376308,15.466714,0.00056,0.000451,0.000109,6,3,3,0
0.001067,120,146,178,31,29,547329.0,667291.5,2,2,73,89,0.011,0.008,0.0,0.0,0.0,4,2,1,0
8e-06,119,114,0,254,0,57000000.0,0.0,2,0,57,0,0.008,0.0,0.0,0.0,0.0,34,34,38,1
0.043562,114,2958,32642,31,29,532023.3125,5874845.0,48,50,62,653,0.919894,0.877673,0.000736,0.000553,0.000183,5,1,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,15,14,34,1
0.040843,113,3926,55310,31,29,757437.0625,10674437.0,66,68,59,813,0.623585,0.600955,0.000711,0.00057,0.000141,2,3,2,0
0.016981,114,2958,32586,31,29,1364819.5,15045050.0,48,50,62,652,0.354511,0.335816,0.000657,0.000521,0.000136,26,11,7,0
7e-06,119,114,0,254,0,65142856.0,0.0,2,0,57,0,0.007,0.0,0.0,0.0,0.0,16,15,15,1
0.101352,113,320,1862,31,29,21075.06445,128660.5078,6,8,53,233,20.2088,14.404571,0.000653,0.000515,0.000138,4,3,4,0
0.001037,120,146,178,31,29,563163.0,686595.9375,2,2,73,89,0.011,0.006,0.0,0.0,0.0,2,5,2,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,31,31,31,1
0.070274,113,3926,55486,31,29,440219.6875,6223752.5,66,68,59,816,1.075231,1.056712,0.00066,0.000528,0.000132,4,1,1,0
0.035328,113,37322,3380,31,29,8289175.5,747282.5625,52,42,718,80,0.685706,0.849561,0.000624,0.000493,0.000131,6,3,1,0
0.170367,113,1540,1644,31,29,67806.55469,72924.92188,16,18,96,91,11.332266,9.957177,0.001268,0.001094,0.000174,15,8,6,0
0.008875,114,2230,14740,31,29,1951549.25,12918084.0,34,36,66,409,0.259485,0.239314,0.00064,0.000496,0.000144,6,7,1,0
0.000986,120,146,178,31,29,592292.0625,722109.5,2,2,73,89,0.011,0.01,0.0,0.0,0.0,5,4,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,24,24,31,1
0.023643,113,3390,42080,31,29,1126760.5,13993148.0,56,58,61,726,0.431648,0.403333,0.000781,0.000644,0.000137,3,3,2,0
0.016563,114,2958,32650,31,29,1399263.375,15454688.0,48,50,62,653,0.345255,0.325959,0.000719,0.000587,0.000132,3,8,2,0
4e-06,120,114,0,254,0,114000000.0,0.0,2,0,57,0,0.004,0.0,0.0,0.0,0.0,4,4,4,1
4e-06,119,114,0,254,0,114000000.0,0.0,2,0,57,0,0.004,0.0,0.0,0.0,0.0,18,17,17,1
0.001032,119,130,162,31,29,503876.0,627907.0,2,2,65,81,0.011,0.008,0.0,0.0,0.0,8,1,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,24,24,28,1
1.11901,114,1684,10168,31,29,11181.3125,68660.69531,14,18,120,565,86.046002,65.783412,0.000825,0.00069,0.000135,4,1,1,0
1.011706,113,1684,10168,31,29,12367.22949,75943.00781,14,18,120,565,77.797459,59.482941,0.000619,0.000491,0.000128,3,1,1,0
0.010326,119,568,320,31,29,330040.6875,185938.4063,4,4,142,80,1.742667,2.672333,0.0,0.0,0.0,2,4,2,0
0.052838,114,3390,40986,31,29,504182.5938,6098641.0,56,58,61,707,0.954455,0.932893,0.000789,0.000592,0.000197,5,4,1,0
7.104457,114,29386,1200256,31,29,33028.28125,1350121.5,526,944,56,1271,13.531699,7.533395,0.000579,0.000458,0.000121,1,2,1,0
1e-05,120,114,0,254,0,45600000.0,0.0,2,0,57,0,0.01,0.0,0.0,0.0,0.0,5,5,5,1
0.008088,113,1064,2260,31,29,965380.8125,2049456.0,12,12,89,188,0.660909,0.686182,0.000646,0.000533,0.000113,2,1,1,0
0.020119,113,1540,1644,31,29,574183.625,617525.6875,16,18,96,91,1.321333,1.157,0.000558,0.000447,0.000111,9,5,8,0
0.004499,119,568,320,31,29,757501.6875,426761.5,4,4,142,80,1.146333,1.017333,0.0,0.0,0.0,3,2,1,0
8e-06,119,264,0,60,0,132000000.0,0.0,2,0,132,0,0.008,0.0,0.0,0.0,0.0,19,19,19,0
0.054412,113,3702,45562,31,29,535617.125,6590899.0,62,62,60,735,0.886525,0.843705,0.003149,0.002942,0.000207,4,2,2,0
0.020737,113,2974,33550,31,29,1123788.375,12684188.0,48,50,62,671,0.444065,0.413082,0.000629,0.000491,0.000138,6,3,1,0
0.018317,113,1540,1644,31,29,630671.0,678277.0625,16,18,96,91,1.200133,1.048529,0.000626,0.000485,0.000141,3,1,1,0
0.006648,114,1958,2308,31,29,2249097.5,2661853.25,22,24,89,96,0.300286,0.261652,0.000758,0.000625,0.000133,1,5,1,0
0.002812,113,320,1886,31,29,759601.6875,4697013.0,6,8,53,236,0.4982,0.328571,0.000635,0.000509,0.000126,7,7,4,0
5e-06,119,264,0,60,0,211200000.0,0.0,2,0,132,0,0.005,0.0,0.0,0.0,0.0,19,19,19,0
5e-06,119,114,0,254,0,91200000.0,0.0,2,0,57,0,0.005,0.0,0.0,0.0,0.0,24,24,24,1
0.023326,114,2750,27730,31,29,921889.75,9303953.0,44,46,63,603,0.533349,0.503756,0.000828,0.000646,0.000182,2,4,2,0
0.024113,113,2766,28404,31,29,897109.4375,9218928.0,44,46,63,617,0.553047,0.5242,0.000644,0.00052,0.000124,3,1,1,0
0.636811,113,534,354,254,252,6042.608887,3894.405029,10,8,53,44,68.654444,82.87857,0.103251,0.056653,0.046598,2,2,3,0
0.00099,119,146,178,31,29,589899.0,719191.9375,2,2,73,89,0.009,0.006,0.0,0.0,0.0,2,1,2,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,21,21,41,1
0.020845,113,3302,35114,31,29,1243847.5,13235596.0,54,56,61,627,0.387377,0.368036,0.000722,0.000595,0.000127,2,1,3,0
0.008947,113,2230,13586,31,29,1935844.375,11810886.0,34,36,66,377,0.261121,0.247353,0.000678,0.000534,0.000144,4,1,2,0
0.006204,120,568,312,31,29,549323.0,301740.8125,4,4,142,78,1.545,1.574667,0.0,0.0,0.0,4,8,4,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,21,20,33,1
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,16,16,24,1
0.041774,114,2542,23508,31,29,474745.0313,4394886.5,40,42,64,560,1.06259,0.994268,0.001169,0.001003,0.000166,2,5,1,0
0.004356,113,1470,1728,31,29,2578512.25,2947658.25,22,14,67,123,0.207429,0.284385,0.000651,0.000533,0.000118,1,3,1,0
8e-06,119,114,0,254,0,57000000.0,0.0,2,0,57,0,0.008,0.0,0.0,0.0,0.0,26,26,41,1
0.063884,114,2750,27602,31,29,336610.125,3381379.0,44,46,63,600,1.47807,1.406578,0.000742,0.000584,0.000158,5,3,1,0
0.001007,120,146,178,31,29,579940.4375,707050.6875,2,2,73,89,0.011,0.003,0.0,0.0,0.0,4,3,2,0
9e-06,119,264,0,60,0,117333328.0,0.0,2,0,132,0,0.009,0.0,0.0,0.0,0.0,7,7,30,0
8e-06,119,114,0,254,0,57000000.0,0.0,2,0,57,0,0.008,0.0,0.0,0.0,0.0,13,13,31,1
4e-06,119,114,0,254,0,114000000.0,0.0,2,0,57,0,0.004,0.0,0.0,0.0,0.0,43,43,43,1
0.014793,114,1540,1644,31,29,780909.875,839856.6875,16,18,96,91,0.964133,0.843294,0.000601,0.000454,0.000147,8,7,6,0
0.285085,119,520,304,31,29,10944.10449,6398.091797,4,4,130,76,64.008332,33.316668,0.0,0.0,0.0,3,2,3,0
1.005127,113,1580,10168,31,29,11532.87109,76440.09375,12,18,132,565,91.339548,59.092767,0.000681,0.000547,0.000134,3,3,2,0
7e-06,119,264,0,60,0,150857136.0,0.0,2,0,132,0,0.007,0.0,0.0,0.0,0.0,11,11,11,0
5e-06,119,114,0,254,0,91200000.0,0.0,2,0,57,0,0.005,0.0,0.0,0.0,0.0,12,12,29,1
0.086146,114,2054,2478,31,29,182109.4531,220555.8125,22,24,93,103,4.085333,3.716957,0.000775,0.000646,0.000129,1,1,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,9,9,31,1
1e-05,119,1444,0,254,0,577600000.0,0.0,2,0,722,0,0.01,0.0,0.0,0.0,0.0,9,8,32,0
0.004946,114,3928,2456,31,29,6000809.0,3752527.25,18,18,218,136,0.272294,0.259647,0.000662,0.000529,0.000133,7,4,4,0
0.106682,113,4862,80646,31,29,360323.1875,5977315.5,84,86,58,938,1.297244,1.249647,0.000685,0.000459,0.000226,2,1,1,0
0.005273,113,1470,1728,31,29,2130096.75,2435046.5,22,14,67,123,0.251095,0.349462,0.000728,0.000599,0.000129,1,1,1,0
0.150984,113,4862,77276,31,29,254596.5,4046945.25,84,86,58,899,1.815,1.769882,0.000815,0.000541,0.000274,1,2,1,0
0.058919,113,3302,37226,31,29,440061.7813,4964374.5,54,56,61,665,1.127038,1.0614,0.000666,0.000539,0.000127,2,2,1,0
0.028835,113,4320,2560,31,29,1131957.625,674735.5625,18,20,240,128,1.677882,1.490579,0.001977,0.000505,0.001472,3,9,4,0
0.001123,119,146,178,31,29,520035.5938,634016.0,2,2,73,89,0.011,0.008,0.0,0.0,0.0,2,2,1,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,25,25,35,1
1e-06,119,114,0,254,0,456000000.0,0.0,2,0,57,0,0.001,0.0,0.0,0.0,0.0,18,18,18,1
1.3e-05,119,114,0,254,0,35076924.0,0.0,2,0,57,0,0.013,0.0,0.0,0.0,0.0,18,17,21,1
0.099212,114,3926,56628,31,29,311817.125,4499133.0,66,68,59,833,1.521108,1.47309,0.000635,0.000512,0.000123,3,1,1,0
1.945739,113,18058,1087890,31,29,74028.42969,4466917.5,338,746,53,1458,5.772768,2.611025,0.000646,0.000522,0.000124,4,2,1,0
0.018255,113,1540,1644,31,29,632812.9375,680580.6875,16,18,96,91,1.1964,1.047235,0.000563,0.000449,0.000114,11,6,5,0
0.00109,119,130,162,31,29,477064.2188,594495.375,2,2,65,81,0.009,0.009,0.0,0.0,0.0,3,2,3,0
8e-06,119,264,0,60,0,132000000.0,0.0,2,0,132,0,0.008,0.0,0.0,0.0,0.0,18,18,18,0
1.116356,113,68023,612,254,252,479345.2813,4077.552246,60,14,1134,44,18.290965,77.665383,0.219284,0.106703,0.112581,2,1,2,0
0.769358,113,320,1958,31,29,2776.34082,17822.65234,6,8,53,245,153.807,109.841289,0.000596,0.000466,0.00013,1,5,4,0
0.015007,114,1540,1644,31,29,769774.0625,827880.3125,16,18,96,91,0.978867,0.855,0.000593,0.000466,0.000127,29,42,29,0
0.023536,114,2558,23148,31,29,848062.5,7680829.0,40,42,64,551,0.595205,0.557512,0.000804,0.000675,0.000129,2,2,1,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,24,24,24,1
0.023933,113,2230,15258,31,29,723686.9375,4958843.5,34,36,66,424,0.715697,0.707848,0.000751,0.000571,0.00018,3,2,2,0
1.004651,113,1580,10168,31,29,11538.33594,76476.3125,12,18,132,565,91.300452,59.065,0.000689,0.000539,0.00015,2,4,2,0
0.001212,119,146,178,31,29,481848.1875,587458.75,2,2,73,89,0.011,0.009,0.0,0.0,0.0,2,2,1,0
0.001011,119,146,178,31,29,577645.875,704253.1875,2,2,73,89,0.011,0.003,0.0,0.0,0.0,2,1,1,0
1.007891,113,1684,10168,31,29,12414.04004,76230.46094,14,18,120,565,77.502156,59.255765,0.000657,0.00053,0.000127,1,2,1,0
0.526751,113,12472,12716,31,29,186714.4063,189918.9688,70,60,178,212,7.746338,8.916186,0.000711,0.000572,0.000139,2,3,2,0
12.087971,113,19618,1087890,31,29,12948.41016,719016.9375,368,746,53,1458,32.936327,16.224738,0.000755,0.000539,0.000216,2,3,1,0
1.006495,113,1580,10168,31,29,11517.19629,76336.19531,12,18,132,565,91.463908,59.174297,0.000648,0.000528,0.00012,4,2,1,0
0.062314,119,568,312,31,29,54690.75781,30041.40234,4,4,142,78,15.674,20.245,0.0,0.0,0.0,5,4,3,0
0.001014,120,130,162,31,29,512820.5,639053.25,2,2,65,81,0.011,0.008,0.0,0.0,0.0,12,12,3,0
5e-06,119,114,0,254,0,91200000.0,0.0,2,0,57,0,0.005,0.0,0.0,0.0,0.0,21,21,29,1
7e-06,119,264,0,60,0,150857136.0,0.0,2,0,132,0,0.007,0.0,0.0,0.0,0.0,19,19,42,0
8e-06,119,264,0,60,0,132000000.0,0.0,2,0,132,0,0.008,0.0,0.0,0.0,0.0,15,15,37,0
1.762793,113,7816,16782,31,29,35180.53516,75557.36719,122,126,64,133,14.687033,14.096912,0.000814,0.000676,0.000138,4,4,2,0
1.124116,114,1684,10168,31,29,11130.52441,68348.82031,14,18,120,565,86.443382,66.096118,0.000709,0.000478,0.000231,7,2,2,0
0.002412,119,130,162,31,29,215588.7188,268656.7188,2,2,65,81,0.002,0.002,0.0,0.0,0.0,3,3,3,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,10,10,35,1
0.028862,113,3614,43086,31,29,985101.5625,11750260.0,60,62,60,695,0.483797,0.462967,0.000746,0.000612,0.000134,2,3,1,0
0.04489,113,2438,20116,31,29,423078.625,3495477.75,38,40,64,503,1.204757,1.137359,0.000655,0.00053,0.000125,8,7,10,0
0.00297,113,320,1956,31,29,719191.9375,4611448.0,6,8,53,245,0.5304,0.332286,0.00078,0.000641,0.000139,3,4,4,0
7e-06,119,264,0,60,0,150857136.0,0.0,2,0,132,0,0.007,0.0,0.0,0.0,0.0,22,22,23,0
4e-06,119,114,0,254,0,114000000.0,0.0,2,0,57,0,0.004,0.0,0.0,0.0,0.0,15,14,14,1
6.855755,114,42952,76642,31,29,50029.79297,89282.07031,548,586,78,131,12.532792,11.717174,0.001381,0.001205,0.000176,19,11,11,0
0.048665,113,2542,22432,31,29,407520.8125,3599794.75,40,42,64,534,1.239538,1.171171,0.000784,0.000644,0.00014,3,2,2,0
4e-06,119,114,0,254,0,114000000.0,0.0,2,0,57,0,0.004,0.0,0.0,0.0,0.0,17,16,21,1
0.114856,113,5174,91194,31,29,356411.5,6282858.5,90,92,57,991,1.286899,1.250528,0.001815,0.001056,0.000759,6,2,1,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,6,6,23,1
0.001043,119,146,178,31,29,559923.3125,682646.1875,2,2,73,89,0.009,0.007,0.0,0.0,0.0,2,3,1,0
0.001145,119,130,162,31,29,454148.4688,565938.875,2,2,65,81,0.01,0.007,0.0,0.0,0.0,6,3,3,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,35,35,35,1
0.005998,114,1920,4312,31,29,2444815.0,5512504.0,22,24,87,180,0.268857,0.235087,0.00072,0.000581,0.000139,8,2,2,0
0.001053,120,130,162,31,29,493827.1563,615384.625,2,2,65,81,0.01,0.008,0.0,0.0,0.0,1,5,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,33,33,33,1
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,6,6,22,1
0.042108,113,7818,14976,31,29,1473164.25,2822836.5,122,126,64,119,0.345116,0.333144,0.000587,0.00046,0.000127,1,3,1,0
0.004303,113,1470,1728,31,29,2610272.0,2983964.75,22,14,67,123,0.21515,0.275923,0.000718,0.00059,0.000128,3,2,2,0
0.133089,114,8928,424,31,29,498373.25,22300.86523,14,8,638,53,10.237615,18.92,0.000626,0.000498,0.000128,2,2,1,0
1.205716,114,8224,1876,254,252,52297.55469,11830.31445,24,20,343,94,52.416827,60.881211,0.110871,0.04897,0.061901,2,2,1,1
0.004836,119,568,320,31,29,704714.625,397022.3438,4,4,142,80,1.257,1.106,0.0,0.0,0.0,6,10,3,0
0.064009,113,2854,30622,31,29,348950.9063,3747597.75,46,48,62,638,1.415444,1.34834,0.000755,0.000634,0.000121,4,3,1,0
0.027679,113,37210,3380,31,29,10548069.0,953791.6875,52,42,716,80,0.535627,0.66161,0.000704,0.000549,0.000155,4,2,1,0
0.081996,113,3598,47460,31,29,345285.125,4555832.0,60,62,60,765,1.408121,1.356517,0.000767,0.000595,0.000172,2,2,1,0
0.34541,113,1220,1970,254,252,25430.64844,39929.35938,10,8,122,246,38.378889,38.137145,0.080591,0.060327,0.020264,1,3,1,1
0.134353,114,320,1882,31,29,15898.41699,98070.01563,6,8,53,235,26.8032,19.114572,0.000692,0.000544,0.000148,5,3,2,0
0.004807,120,568,320,31,29,708966.0625,399417.5,4,4,142,80,1.264667,1.114667,0.0,0.0,0.0,3,6,3,0
5e-06,119,264,0,60,0,211200000.0,0.0,2,0,132,0,0.005,0.0,0.0,0.0,0.0,16,16,18,0
0.22653,113,8928,320,31,29,292800.0625,9429.214844,14,6,638,53,17.425385,44.987801,0.000565,0.000447,0.000118,6,5,4,0
2.113796,113,7814,15214,31,29,29331.11719,57125.66406,122,126,64,121,17.612101,16.90632,0.000625,0.000503,0.000122,7,4,6,0
0.04873,113,8928,424,31,29,1361132.75,60907.03906,14,8,638,53,3.748462,6.858286,0.000689,0.000549,0.00014,4,8,5,0
1e-06,119,114,0,254,0,456000000.0,0.0,2,0,57,0,0.001,0.0,0.0,0.0,0.0,22,22,24,1
0.001865,120,536,304,31,29,1724396.75,978016.0625,4,4,134,76,0.473333,0.246,0.0,0.0,0.0,3,6,3,0
1.693334,113,13142,548216,31,29,61818.875,2584085.5,228,438,58,1252,7.524427,3.891662,0.000573,0.000456,0.000117,4,2,2,0
4e-06,119,264,0,60,0,264000000.0,0.0,2,0,132,0,0.004,0.0,0.0,0.0,0.0,23,23,43,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,12,12,12,1
0.027895,113,3718,44706,31,29,1049363.75,12614447.0,62,62,60,721,0.452098,0.448246,0.000661,0.000541,0.00012,4,1,1,0
0.081281,113,1272,2468,31,29,117419.8203,227753.1094,16,16,80,154,5.395933,5.3814,0.000679,0.000551,0.000128,4,3,1,0
1.342181,114,8928,320,31,29,49418.07422,1591.439697,14,6,638,53,103.244692,268.310187,0.000634,0.000502,0.000132,16,11,4,0
0.406238,113,5104,3080,31,29,96928.40625,58645.42578,28,30,182,103,15.034482,13.989275,0.000666,0.000547,0.000119,1,1,3,0
3.5e-05,119,114,0,254,0,13028571.0,0.0,2,0,57,0,0.035,0.0,0.0,0.0,0.0,26,26,38,1
0.017086,114,2438,19502,31,29,1111553.375,8903196.0,38,40,64,488,0.452946,0.402744,0.001563,0.001376,0.000187,3,1,1,0
0.027237,114,3390,41676,31,29,978081.3125,12030106.0,56,58,61,719,0.489164,0.468,0.000706,0.000558,0.000148,5,6,3,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,17,16,41,1
4.702945,113,13246,548216,31,29,22435.30273,930421.1875,230,438,58,1252,20.535503,10.760787,0.000616,0.00048,0.000136,5,5,4,0
5e-06,119,114,0,254,0,91200000.0,0.0,2,0,57,0,0.005,0.0,0.0,0.0,0.0,27,25,25,1
0.030932,114,4014,61374,31,29,1022888.938,15646709.0,68,70,59,877,0.456985,0.440594,0.000679,0.000524,0.000155,4,1,1,0
0.020933,113,2934,3742,31,29,1099890.125,1403716.625,52,54,56,69,0.4124,0.384698,0.000666,0.000539,0.000127,5,6,4,0
4e-06,119,264,0,60,0,264000000.0,0.0,2,0,132,0,0.004,0.0,0.0,0.0,0.0,24,24,24,0
1.010331,113,1684,10168,31,29,12384.05957,76046.35938,14,18,120,565,77.691613,59.402824,0.000602,0.00048,0.000122,2,2,2,0
